time DEVICE_CURRENT_L01_RX1 DEVICE_CURRENT_L01_RX2 DEVICE_CURRENT_L01_RX3 DEVICE_CURRENT_L02_TX1 PHASE_B01 PHASE_B02 PHASE_B03 PHASE_B04 PHASE_B05 PHASE_B06 PHASE_B07 PHASE_B08 PHASE_B09 PHASE_B10 PHASE_B11 PHASE_B14
3.0000000000000001e-12 -1.2925751881953444e-05 -1.2925751881953444e-05 -8.3604077749130076e-06 7.3960110202032123e-06 1.7263678360816481e-01 1.7263678360816481e-01 -3.7654781051043938e-02 3.7654781051043938e-02 -1.4125777586099916e-03 1.4125777586099673e-03 1.8191542360157095e-01 2.2510841923954092e-01 1.1239229310684909e-01 2.9657670923625368e-01 2.9657670923625368e-01 4.9379860619266336e-01
3.2500000000000001e-12 -1.3091501535691233e-05 -1.3091501535691233e-05 -8.8359521872326910e-06 7.8653064183597528e-06 1.8558055029510412e-01 1.8558055029510412e-01 -3.8996239718221554e-02 3.8996239718221561e-02 -2.5882900908614712e-03 2.5882900908614451e-03 1.9476869978435041e-01 2.4198901379325136e-01 1.1872467239046330e-01 3.2723247421950091e-01 3.2723247421950091e-01 5.4730939310613291e-01
3.5000000000000000e-12 -1.3397065165240145e-05 -1.3397065165240145e-05 -9.4696429783935829e-06 8.4240985515868819e-06 2.0236221411059940e-01 2.0236221411059940e-01 -4.2017076789742917e-02 4.2017076789742938e-02 -3.9270358742802686e-03 3.9270358742802478e-03 2.0945199563500305e-01 2.6415401391044668e-01 1.2785371397057116e-01 3.6350425290362826e-01 3.6350425290362826e-01 6.0383148622208771e-01
3.7500000000000000e-12 -1.3906908298687835e-05 -1.3906908298687835e-05 -9.9473506169376861e-06 8.8452010138191196e-06 2.2354800872331784e-01 2.2354800872331787e-01 -4.7569200411290889e-02 4.7569200411290903e-02 -4.5287838082795923e-03 4.5287838082795785e-03 2.2796350671858956e-01 2.9267986065537016e-01 1.4114324900839145e-01 4.0327929027132292e-01 4.0327929027132298e-01 6.6160143150326067e-01
3.9999999999999999e-12 -1.4555151806980244e-05 -1.4555151806980244e-05 -1.0174719004079044e-05 9.0386176906632723e-06 2.4786018635344090e-01 2.4786018635344093e-01 -5.5161049977074175e-02 5.5161049977074175e-02 -3.9240578324878754e-03 3.9240578324878702e-03 2.5069518944523433e-01 3.2604973834124162e-01 1.5811802056843272e-01 4.4357321512594372e-01 4.4357321512594372e-01 7.2047862274709007e-01
4.2499999999999999e-12 -1.5147600065371667e-05 -1.5147600065371667e-05 -1.0327297104185209e-05 9.0582387597746485e-06 2.7310046375877328e-01 2.7310046375877334e-01 -6.3409624309622395e-02 6.3409624309622395e-02 -2.3812048504921485e-03 2.3812048504921468e-03 2.7601134060397275e-01 3.6117380814306599e-01 1.7686134421431754e-01 4.8225057096265611e-01 4.8225057096265611e-01 7.8147192039967550e-01
4.4999999999999998e-12 -1.5499108229704772e-05 -1.5499108229704772e-05 -1.0635353062896035e-05 9.0326848397779850e-06 2.9730961204696860e-01 2.9730961204696865e-01 -7.0944200734939331e-02 7.0944200734939344e-02 -7.1398851495442506e-04 7.1398851495441985e-04 3.0104917357189676e-01 3.9501160363564486e-01 1.9501026950814737e-01 5.1889183549628803e-01 5.1889183549628803e-01 8.4556992943563480e-01
4.7499999999999998e-12 -1.5580714185655622e-05 -1.5580714185655622e-05 -1.1160889898143415e-05 9.0772856382411123e-06 3.1953123426607105e-01 3.1953123426607111e-01 -7.7164038179929367e-02 7.7164038179929395e-02 2.7263686718903210e-04 -2.7263686718904251e-04 3.2332818936900132e-01 4.2597811716184875e-01 2.1082728958807556e-01 5.5455012275481752e-01 5.5455012275481752e-01 9.1301940048485097e-01
4.9999999999999997e-12 -1.5548167988805135e-05 -1.5548167988805135e-05 -1.1783345748123613e-05 9.2386219847913474e-06 3.3994841933991377e-01 3.3994841933991377e-01 -8.2455479332960130e-02 8.2455479332960199e-02 3.0706503786217913e-04 -3.0706503786219301e-04 3.4214406844558204e-01 4.5449734794646868e-01 2.2387427584735031e-01 5.9083466471962043e-01 5.9083466471962043e-01 9.8344267889670400e-01
5.2499999999999996e-12 -1.4432252410998077e-05 -1.4432252410998078e-05 -1.1185292401085804e-05 9.0995841781306795e-06 3.5884335431254627e-01 3.5884335431254627e-01 -8.7881764899723352e-02 8.7881764899723436e-02 -1.5407700575575771e-04 1.5407700575574557e-04 3.5764932338139988e-01 4.8187258211413375e-01 2.3487506305457562e-01 6.2741044475127894e-01 6.2741044475127894e-01 1.0532315510457795e+00
